Bill No,Date,Customer,Mobile,Total Amount,Received,Balance,Payment Mode
165660,20-12-2025,Customer 328895,9869702349,3001.0,1500.0,1501.0,
165719,11-12-2025,Customer 948395,6731019646,18423.0,9211.0,9212.0,
165761,10-12-2025,Customer 235641,8399952592,17316.0,8658.0,8658.0,
165772,02-12-2025,Customer 817732,9778739089,2163.0,1081.0,1082.0,
165788,03-12-2025,Customer 986506,9047017651,5241.0,5241.0,0.0,
165816,09-12-2025,Customer 362271,7582140851,13777.0,6888.0,6889.0,
165856,17-12-2025,Customer 349983,8128383591,10582.0,5291.0,5291.0,
165873,26-12-2025,Customer 783481,9500699381,4778.0,2389.0,2389.0,
165878,13-12-2025,Customer 764104,9152540731,1692.0,1692.0,0.0,
165960,22-12-2025,Customer 538593,6528762928,630.0,315.0,315.0,
165973,18-12-2025,Customer 299664,9568855434,2663.0,1331.0,1332.0,
165976,20-12-2025,Customer 739244,8920969837,4254.0,2127.0,2127.0,
165979,14-12-2025,Customer 972837,7911649875,17931.0,8965.0,8966.0,
165987,18-12-2025,Customer 989983,6536745401,18525.0,18525.0,0.0,
166003,30-12-2025,Customer 563768,6029465669,1242.0,621.0,621.0,
166048,27-12-2025,Customer 403578,9664508249,12976.0,12976.0,0.0,
166052,16-12-2025,Customer 825732,8210603200,15439.0,7719.0,7720.0,
166179,28-12-2025,Customer 996355,6243044308,2775.0,1387.0,1388.0,
166189,24-12-2025,Customer 454496,6556945499,10253.0,5126.0,5127.0,
166232,12-12-2025,Customer 896224,7699141359,13345.0,13345.0,0.0,
166263,26-12-2025,Customer 310711,7681118958,15258.0,7629.0,7629.0,
166271,11-12-2025,Customer 188020,7381493713,6142.0,3071.0,3071.0,
166296,05-12-2025,Customer 889638,8081441275,2259.0,2259.0,0.0,
166311,11-12-2025,Customer 828893,7995981701,12974.0,12974.0,0.0,
166334,07-12-2025,Customer 178247,8374634591,19517.0,19517.0,0.0,
166360,22-12-2025,Customer 264972,9497648262,11821.0,5910.0,5911.0,
166505,09-12-2025,Customer 791344,9572735489,14767.0,7383.0,7384.0,
166554,06-12-2025,Customer 342552,6123269963,3676.0,3676.0,0.0,
166563,20-12-2025,Customer 343079,6225016924,8966.0,8966.0,0.0,
166583,20-12-2025,Customer 923100,7038522313,6620.0,6620.0,0.0,
166584,07-12-2025,Customer 905609,6868436617,15344.0,7672.0,7672.0,
166589,06-12-2025,Customer 505577,7074985380,1271.0,1271.0,0.0,
166593,04-12-2025,Customer 680161,8005412596,3386.0,3386.0,0.0,
166597,30-12-2025,Customer 113898,7235678662,13718.0,13718.0,0.0,
166641,14-12-2025,Customer 719356,9274531500,4861.0,2430.0,2431.0,
166684,31-12-2025,Customer 342556,6012255348,5869.0,2934.0,2935.0,
166699,07-12-2025,Customer 784764,7914351725,12216.0,6108.0,6108.0,
166761,15-12-2025,Customer 965766,7380208336,10964.0,5482.0,5482.0,
166769,28-12-2025,Customer 321662,6991076794,13168.0,13168.0,0.0,
